state,date,positive,negative,positiveIncrease,negativeIncrease,bigFlag,negativeJump,positiveJump
DC,20200327,267,1897,36,271,0.008025682182986,0.142857142857143,0.134831460674157
FL,20200319,390,1533,76,308,0.006041447137338,0.200913242009132,0.194871794871795
VA,20200311,9,60,1,7,0.005555555555556,0.116666666666667,0.111111111111111
DC,20200315,16,79,6,30,0.004746835443038,0.379746835443038,0.375
UT,20200327,480,8764,78,1456,0.003634185303514,0.166134185303514,0.1625
AL,20200327,587,4184,81,591,0.003262611522438,0.141252390057361,0.137989778534923
NH,20200326,137,3001,29,645,0.003249525097474,0.214928357214262,0.211678832116788
GU,20200327,51,299,6,36,0.002754278969113,0.120401337792642,0.117647058823529
GU,20200325,37,233,5,32,0.002203920658856,0.137339055793991,0.135135135135135
ND,20200323,30,1353,2,93,0.002069475240207,0.068736141906874,0.066666666666667
OH,20200315,36,139,23,89,0.001398880895284,0.640287769784173,0.638888888888889
NH,20200317,17,355,4,84,0.0013256006628,0.236619718309859,0.235294117647059
AK,20200323,22,946,0,0,0,0,0
AK,20200316,1,143,0,0,0,0,0
AK,20200315,1,143,0,0,0,0,0
AZ,20200315,12,121,0,0,0,0,0
AZ,20200309,5,44,0,0,0,0,0
AZ,20200308,5,44,0,0,0,0,0
CA,20200313,202,916,0,0,0,0,0
CA,20200305,53,462,0,0,0,0,0
CO,20200316,131,627,0,0,0,0,0
DC,20200313,10,20,0,0,0,0,0
DE,20200315,6,36,0,0,0,0,0
IL,20200311,19,244,0,0,0,0,0
IL,20200308,6,191,0,0,0,0,0
KS,20200314,6,93,0,0,0,0,0
KS,20200309,1,11,0,0,0,0,0
MA,20200315,138,352,0,0,0,0,0
ME,20200315,3,91,0,0,0,0,0
ME,20200314,3,91,0,0,0,0,0
MN,20200308,1,48,0,0,0,0,0
MO,20200324,183,369,0,0,0,0,0
NE,20200308,1,17,0,0,0,0,0
NH,20200316,13,271,0,0,0,0,0
NH,20200313,6,94,0,0,0,0,0
NH,20200311,4,38,0,0,0,0,0
NH,20200310,4,38,0,0,0,0,0
